-1.57691e+06  -6.09109e+06  -1.14618e+06      3.74222e-10  3.97701e-11  -8.36625e-10     -1.97922e-11     -4.59449e-05    8.92461e-17     2.72388e-16     -3.10028e-17
4.17412e+06  -936414  -4.75377e+06      -5.89805e-10  2.87821e-10  4.68066e-10     7.75038e-10     0.000506899    -3.11684e-15     1.86055e-15     1.57521e-15
-5.23553e+06  202296  -3.66653e+06      5.90034e-10  8.03864e-11  -5.90124e-10     1.42169e-10     6.25221e-05    8.34621e-16     1.15625e-16     1.69629e-16
-2.20534e+06  -3.84124e+06  4.60983e+06      -7.58085e-10  -1.70227e-09  8.55237e-11     -1.34601e-09     -0.000665815    7.52922e-16     8.4294e-16     -1.03218e-14
-4.24162e+06  -3.57738e+06  3.17669e+06      -6.58902e-10  -7.76448e-10  -2.93351e-10     -7.25797e-10     -0.000535517    1.72414e-15     1.74968e-15     -3.64215e-17
1.52526e+06  -13957.6  6.2113e+06      -6.5293e-10  4.904e-10  -5.34279e-11     2.08665e-10     -0.000588483    1.05341e-14     -4.36673e-15     1.03563e-14
1.60658e+06  216130  6.18618e+06      -7.37757e-10  -2.53599e-10  -4.59072e-10     6.3799e-10     -0.000587638    1.21648e-14     -2.54815e-15     -2.70348e-15
5.11258e+06  2.11413e+06  3.20546e+06      5.57918e-10  1.60645e-10  -9.51695e-10     -2.21155e-11     -6.91091e-05    -1.59704e-16     1.92616e-16     -1.41164e-16
-2.11202e+06  -2.33261e+06  -5.5662e+06      7.27383e-10  3.68978e-10  1.56006e-10     5.10672e-10     0.000288078    -6.39772e-16     2.44712e-15     8.66045e-16
1.81842e+06  -5.25053e+06  3.1653e+06      8.40926e-10  -8.7148e-10  -6.3792e-10     -6.38905e-10     -0.000317133    1.00757e-14     -4.18875e-15     2.47894e-14
-1.89582e+06  5.3288e+06  2.98195e+06      4.11668e-11  1.00379e-09  -6.49941e-10     -5.21251e-10     -0.000325773    1.24025e-15     -4.31998e-17     9.70462e-16
-5.44135e+06  -860827  3.247e+06      -9.80896e-10  -2.35429e-11  -2.70391e-10     -7.00533e-10     -0.000548561    2.43087e-15     1.64182e-15     6.9374e-16
-4.95496e+06  -784087  3.96531e+06      -1.04943e-09  -6.8902e-11  -7.26836e-11     -7.76552e-10     -0.00061635    3.63171e-15     6.55815e-16     1.47725e-16
1.86723e+06  5.0889e+06  3.39203e+06      7.41421e-10  7.03879e-10  -7.96095e-10     -3.54369e-10     -0.00021917    1.65439e-15     -7.02596e-16     4.481e-16
-4.96522e+06  3.99484e+06  530846      -6.36631e-11  4.75495e-10  -7.79025e-10     -2.81804e-10     -0.000211001    4.13749e-16     -8.95903e-16     2.66534e-16
1.14882e+06  -2.00744e+06  5.96161e+06      3.45308e-09  -3.80588e-09  2.85601e-09     -4.47778e-09     -0.00082716    1.5654e-13     -2.69584e-13     -3.22701e-13
316555  3.21877e+06  5.51914e+06      8.30633e-10  2.41742e-09  2.93088e-10     -1.51034e-09     -0.000728326    3.28961e-15     -7.88846e-15     -1.62921e-14
208125  -2.98422e+06  5.65177e+06      4.37529e-10  -1.96627e-09  9.07401e-10     -1.73384e-09     -0.00080019    5.16138e-16     1.01913e-14     -6.26496e-15
2.83609e+06  545185  5.70553e+06      1.23514e-09  2.61394e-10  -2.20021e-10     -3.73761e-10     -0.000525476    -3.89699e-15     -1.48582e-15     -4.18289e-15
3.39527e+06  -3.65806e+06  -3.99815e+06      -2.16627e-10  7.3292e-10  1.1251e-10     6.04609e-10     0.000387258    -3.41563e-15     2.15545e-15     -1.94587e-15
-4.68711e+06  4.0696e+06  -1.53989e+06      3.25792e-10  1.16859e-10  -7.61153e-10     -1.88644e-11     -3.97709e-05    3.36316e-17     -6.56773e-16     5.56239e-16
-4.19317e+06  3.71611e+06  3.07966e+06      -4.69456e-10  9.01221e-10  -4.89688e-10     -5.9584e-10     -0.000431232    2.42634e-15     -2.11284e-17     1.05626e-15
3.00434e+06  -4.6349e+06  3.22103e+06      8.86333e-10  -5.45523e-10  -7.13892e-10     -4.52271e-10     -0.000259736    -1.01376e-15     -1.15457e-15     7.8855e-16
-4.56989e+06  3.92683e+06  2.13917e+06      -3.82386e-10  8.01196e-10  -6.73731e-10     -5.39964e-10     -0.000341025    5.42575e-15     -4.45223e-15     -9.94941e-15
5.91142e+06  -96223.6  -2.43609e+06      -8.35e-10  6.71138e-11  -2.8792e-10     6.63247e-10     0.00041674    -2.47125e-15     -8.57331e-16     -4.6054e-16
-4.68962e+06  -4.11206e+06  1.40921e+06      -2.81827e-10  -5.89468e-10  -7.58303e-10     -4.18649e-10     -0.000374711    1.90366e-14     1.791e-14     1.83825e-15
-3.92532e+06  -1.64489e+06  4.77152e+06      -1.10177e-09  -4.96184e-10  1.56546e-10     -9.20873e-10     -0.000704436    3.28564e-15     2.13414e-15     -2.90404e-15
5.99102e+06  521012  2.17241e+06      1.99515e-10  6.41713e-11  -9.44824e-10     1.28842e-10     5.0044e-05    3.1099e-16     -1.76251e-16     -3.26802e-16
-1.95476e+06  -4.17213e+06  -4.43494e+06      5.18152e-10  5.24259e-10  -1.39559e-10     4.03626e-10     0.000201915    1.84076e-15     -2.41656e-16     -1.37842e-15
-2.2857e+06  -2.00589e+06  5.62385e+06      -9.15447e-10  -4.18528e-10  8.50325e-10     -1.20656e-09     -0.000811853    5.63641e-15     5.3071e-15     -1.71262e-15
-1.19035e+06  3.51043e+06  5.20987e+06      -9.72677e-11  2.31397e-09  3.20316e-10     -1.54952e-09     -0.00070064    6.70432e-15     1.6581e-15     -7.74453e-18
