1263 1 0 0  0 0 1 2 5
1246 1 0 0  0 0 1 2 5
1232 1 0 0  0 0 1 2 5
1236 1 0 0  0 0 1 2 5
1266 1 0 0  0 0 1 2 5
1769 1 0 0  0 0 1 2 5
1680 1 0 0  0 0 1 2 5
1920 1 0 0  0 0 1 2 5
1941 1 0 0  0 0 1 2 5
1910 1 0 0  0 0 1 2 5
1911 1 0 0  0 0 1 2 5
1932 1 0 0  0 0 1 2 5
640 1 0 0  0 0 1 2 5
1943 1 0 0  0 0 1 2 5
1952 1 0 0  0 0 1 2 5
1921 1 0 0  0 0 1 2 5
1913 1 0 0  0 0 1 2 5
1908 1 0 0  0 0 1 2 5
1747 1 0 0  0 0 1 2 5
1247 1 0 0  0 0 1 2 5
1180 1 0 0  0 0 1 2 5
1181 1 0 0  0 0 1 2 5
1233 1 0 0  0 0 1 2 5
900 1 0 0  0 0 1 2 5
1630 1 0 0  0 0 1 2 5
1682 1 0 0  0 0 1 2 5
1633 1 0 0  0 0 1 2 5
1845 1 0 0  0 0 1 2 5
1844 1 0 0  0 0 1 2 5
1841 1 0 0  0 0 1 2 5
527 1 0 0  0 0 1 2 5
1804 1 0 0  0 0 1 2 5
546 1 0 0  0 0 1 2 5
1875 1 0 0  0 0 1 2 5
1767 1 0 0  0 0 1 2 5
1264 1 0 0  0 0 1 2 5
33 1 0 0  0 0 1 2 5
1748 1 0 0  0 0 1 2 5
1761 1 0 0  0 0 1 2 5
368 1 0 0  0 0 1 2 5
430 1 0 0  0 0 1 2 5
473 1 0 0  0 0 1 2 5
1530 1 0 0  0 0 1 2 5
1528 1 0 0  0 0 1 2 5
112 1 0 0  0 0 1 2 5
110 1 0 0  0 0 1 2 5
1571 1 0 0  0 0 1 2 5
1653 1 0 0  0 0 1 2 5
1429 1 0 0  0 0 1 2 5
1430 1 0 0  0 0 1 2 5
1215 1 0 0  0 0 1 2 5
1218 1 0 0  0 0 1 2 5
1231 1 0 0  0 0 1 2 5
512 1 0 0  0 0 1 2 5
1753 1 0 0  0 0 1 2 5
1752 1 0 0  0 0 1 2 5
1929 1 0 0  0 0 1 2 5
1939 1 0 0  0 0 1 2 5
1946 1 0 0  0 0 1 2 5
1936 1 0 0  0 0 1 2 5
1948 1 0 0  0 0 1 2 5
1950 1 0 0  0 0 1 2 5
1949 1 0 0  0 0 1 2 5
1951 1 0 0  0 0 1 2 5
1907 1 0 0  0 0 1 2 5
1849 1 0 0  0 0 1 2 5
1732 1 0 0  0 0 1 2 5
1271 1 0 0  0 0 1 2 5
