1180 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1181 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1233 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
900 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1630 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1682 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1633 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1845 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1844 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1841 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
527 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1804 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
546 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1875 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1767 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1264 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1231 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
512 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1753 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1752 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1929 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1939 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1946 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1936 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1948 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1950 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1949 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1951 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1907 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1849 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1732 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1271 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
33 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1748 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1761 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
368 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
430 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
473 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1530 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1528 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
112 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
110 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1571 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1653 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1429 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1430 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1215 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1218 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1266 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1769 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1680 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1920 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1941 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1910 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1911 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1932 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
640 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1943 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1952 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1921 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1913 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
1908 1  1.0 0.0 0.0  0.0 -0.5 -0.866025   1  5.0
