31557600.0
node 1    -526185   -1.53048e+06   5.01694e+06      -496604   298874   993088      -585038   259269   1.23811e+06
node 2    -50778.8   -1.37681e+06   4.41256e+06      -496550   211095   933283      -577523   230839   1.21453e+06
node 3    -74015.3   -1.8988e+06   4.92592e+06      -508137   297172   1.02417e+06      -590918   251449   1.24037e+06
node 4    -149872   -2.16568e+06   4.23679e+06      -511654   225780   1.00601e+06      -599000   234274   1.23288e+06
node 5    -1.19938e+06   -1.78044e+06   5.31267e+06      -485529   278827   1.00563e+06      -593646   265106   1.24728e+06
node 6    -952779   -1.113e+06   5.08147e+06      -513896   244212   941101      -584591   254627   1.2272e+06
node 7    -1.21683e+06   -1.80527e+06   4.82005e+06      -511706   235316   983549      -600967   253581   1.23756e+06
node 8    -909908   -2.17288e+06   5.22337e+06      -491326   298518   1.02577e+06      -599740   263567   1.24957e+06
node 9    -794076   -1.80894e+06   5.37867e+06      -474988   330902   1.02218e+06      -587748   270683   1.24988e+06
node 10    -922229   -1.22497e+06   4.40823e+06      -519425   198590   922429      -590461   240202   1.22084e+06
node 11    -478003   -1.0431e+06   5.16958e+06      -491386   301831   935768      -572668   259911   1.22166e+06
node 12    -70857   -957782   4.97573e+06      -502243   271228   887697      -569195   245813   1.20275e+06
node 13    -118895   -1.28308e+06   5.58323e+06      -472539   533447   1.06794e+06      -569314   307719   1.25342e+06
node 14    -574369   -1.15349e+06   5.58323e+06      -440994   418578   1.01442e+06      -564345   289618   1.24585e+06
node 15    -967492   -1.36162e+06   5.48114e+06      -465621   320593   986269      -578334   273039   1.24265e+06
node 16    -400017   -1.6225e+06   5.48091e+06      -474019   423456   1.03371e+06      -579925   286207   1.25009e+06
node 17    -464739   -2.09257e+06   5.31395e+06      -487663   350072   1.04419e+06      -593048   269026   1.252e+06
node 18    -53045.6   -2.17372e+06   -3.48351e+06      -364712   134808   636154      -433593   162414   778909
node 19    1.04495e+06   -1.99518e+06   -3.48061e+06      -415064   154045   884565      -493434   186644   1.08244e+06
node 20    751766   -2.95117e+06   -3.97285e+06      -432621   142500   869114      -513840   172901   1.06312e+06
node 21    832951   -2.30568e+06   -4.59536e+06      -433076   152544   874754      -514958   184707   1.07052e+06
node 22    -201619   -2.95065e+06   -4.37616e+06      -429152   158139   813589      -510643   190576   996199
node 23    -223581   -2.81973e+06   -3.03469e+06      -370474   92008.1   745147      -439865   111343   912177
node 24    -846909   -2.43455e+06   -3.47e+06      -370960   163231   708513      -441585   195771   868572
node 25    80926   -2.23187e+06   -4.75467e+06      -423535   157273   799320      -504236   189521   978808
node 26    -626300   -2.01932e+06   -4.22319e+06      -401714   162927   767118      -478565   195556   940243
node 27    123098   -1.50647e+06   -3.94708e+06      -410206   154327   826367      -488386   185723   1.01194e+06
node 28    -2.55128e+06   -474511   3.39756e+06      -536562   215611   923215      -600696   267036   1.19241e+06
node 29    -2.19669e+06   -22015.4   4.08418e+06      -524506   217654   897256      -578160   268517   1.18527e+06
node 30    -2.40174e+06   233207   3.19193e+06      -517135   222631   904132      -577707   268007   1.17097e+06
