     27737         1   0.98537   0.16211  -0.05267   0.17045  -0.93714   0.30449         1        7.87587
     27776         1   0.96811   0.23826  -0.07742   0.25052  -0.92073   0.29916         1        0.33849
     27777         1   0.95226   0.29035  -0.09434   0.30529  -0.90565   0.29426         1        0.71424
     27885         1   0.96328   0.25537  -0.08298   0.26851  -0.91613   0.29767         1        7.15093
     27884         1   0.94995   0.29711  -0.09654   0.31240  -0.90346   0.29355         1        7.06230
     27992         1   0.93032   0.34880  -0.11333   0.36675  -0.88479   0.28748         1        7.24133
     28009         1   0.88497   0.44287  -0.14390   0.46566  -0.84165   0.27347         1        7.54982
     28003         1   0.86052   0.48448  -0.15742   0.50941  -0.81840   0.26592         1        8.55790
     27927         1   0.85934   0.48637  -0.15803   0.51140  -0.81728   0.26555         1       10.05090
     27983         1   0.86226   0.48168  -0.15651   0.50647  -0.82005   0.26645         1        8.38849
     27843         1   0.87954   0.45254  -0.14704   0.47583  -0.83649   0.27179         1        7.64528
     27699         1   0.89194   0.43002  -0.13972   0.45215  -0.84829   0.27562         1        7.40743
     27826         1   0.93472   0.33799  -0.10982   0.35538  -0.88897   0.28884         1        7.49477
     27845         1   0.93653   0.33343  -0.10834   0.35059  -0.89069   0.28940         1        7.30389
     27847         1   0.90587   0.40283  -0.13089   0.42357  -0.86153   0.27993         1        7.00621
     27968         1   0.93559   0.33581  -0.10911   0.35309  -0.88980   0.28911         1        7.02983
     27995         1   0.93384   0.34018  -0.11053   0.35769  -0.88814   0.28857         1        1.14444
     27812         1   0.98062   0.18635  -0.06055   0.19594  -0.93262   0.30303         1        4.21080
     27814         1   0.98160   0.18160  -0.05901   0.19095  -0.93356   0.30333         1        5.08258
     27946         1   0.98060   0.18642  -0.06057   0.19602  -0.93261   0.30302         1        7.62858
     28094         1   0.96582   0.24651  -0.08010   0.25920  -0.91855   0.29846         1        1.34055
     28088         1   0.89522   0.42381  -0.13770   0.44562  -0.85141   0.27664         1        1.16548
     28096         1   0.85122   0.49912  -0.16218   0.52481  -0.80956   0.26304         1        0.44080
     28130         1   0.90886   0.39670  -0.12889   0.41711  -0.86437   0.28085         1        1.39263
     28153         1   0.98367   0.17120  -0.05563   0.18001  -0.93552   0.30397         1        4.82521
     28141         1   0.97327   0.21842  -0.07097   0.22966  -0.92564   0.30076         1        9.89018
     28120         1   0.97331   0.21824  -0.07091   0.22947  -0.92568   0.30077         1        7.20118
     28106         1   0.98050   0.18690  -0.06073   0.19652  -0.93251   0.30299         1        4.39084
     28105         1   0.98167   0.18125  -0.05889   0.19057  -0.93363   0.30335         1        7.62013
     28147         1   0.98448   0.16693  -0.05424   0.17552  -0.93629   0.30422         1        3.07010
     28159         1   0.97045   0.22950  -0.07457   0.24131  -0.92295   0.29988         1        8.29907
     28155         1   0.96658   0.24383  -0.07923   0.25638  -0.91927   0.29869         1       12.60115
     28070         1   0.95885   0.27001  -0.08773   0.28390  -0.91192   0.29630         1        8.79345
     27900         1   0.97555   0.20903  -0.06792   0.21978  -0.92780   0.30146         1       11.95203
     27825         1   0.98757   0.14947  -0.04856   0.15716  -0.93924   0.30518         1        8.23441
     27789         1   0.98147   0.18226  -0.05922   0.19163  -0.93343   0.30329         1        7.74404
     27868         1   0.93372   0.34048  -0.11063   0.35801  -0.88802   0.28853         1        9.14892
     27849         1   0.85356   0.49550  -0.16100   0.52100  -0.81178   0.26376         1       11.26184
     27851         1   0.86314   0.48025  -0.15604   0.50497  -0.82089   0.26672         1       12.47487
     27926         1   0.86342   0.47980  -0.15590   0.50449  -0.82116   0.26681         1        8.09128
     27876         1   0.86301   0.48046  -0.15611   0.50519  -0.82077   0.26668         1        9.07761
     27697         1   0.87903   0.45344  -0.14733   0.47677  -0.83600   0.27163         1        7.78025
     27698         1   0.86793   0.47238  -0.15348   0.49669  -0.82545   0.26821         1        8.69205
     27803         1   0.87990   0.45190  -0.14683   0.47516  -0.83684   0.27190         1       10.13154
     27846         1   0.93585   0.33514  -0.10889   0.35239  -0.89005   0.28919         1        9.86268
     27910         1   0.98305   0.17436  -0.05665   0.18333  -0.93494   0.30378         1        7.85217
