31557600.0
node 1    -526185   -1.53048e+06   5.01694e+06      88433.9   39605.6   -245018      109251   -26284.2   -283658
node 2    -50778.8   -1.37681e+06   4.41256e+06      80972.7   -19744.5   -281249      105916   -43744.7   -293917
node 3    -74015.3   -1.8988e+06   4.92592e+06      82780.6   45722.5   -216207      108248   -22709.3   -273336
node 4    -149872   -2.16568e+06   4.23679e+06      87345.8   -8493.55   -226872      110929   -38981.8   -275540
node 5    -1.19938e+06   -1.78044e+06   5.31267e+06      108118   13720.5   -241649      116574   -33916.9   -282440
node 6    -952779   -1.113e+06   5.08147e+06      70695.7   -10414.4   -286104      103588   -42117.5   -296349
node 7    -1.21683e+06   -1.80527e+06   4.82005e+06      89261.2   -18264.7   -254008      111748   -43881   -285571
node 8    -909908   -2.17288e+06   5.22337e+06      108414   34951.4   -223802      117375   -26760.6   -276490
node 9    -794076   -1.80894e+06   5.37867e+06      112759   60218.8   -227707      117089   -19849.1   -278655
node 10    -922229   -1.22497e+06   4.40823e+06      71035.5   -41612.2   -298409      104020   -51353.9   -299917
node 11    -478003   -1.0431e+06   5.16958e+06      81281.6   41919.8   -285894      105231   -27096.4   -296457
node 12    -70857   -957782   4.97573e+06      66952.1   25415   -315051      100069   -31670.4   -304840
node 13    -118895   -1.28308e+06   5.58323e+06      96775.2   225728   -185473      109628   27032.5   -266921
node 14    -574369   -1.15349e+06   5.58323e+06      123350   128960   -231438      117052   -1365.27   -280754
node 15    -967492   -1.36162e+06   5.48114e+06      112712   47553.9   -256383      115745   -24399.6   -287844
node 16    -400017   -1.6225e+06   5.48091e+06      105906   137248   -216381      113629   2252.75   -275774
node 17    -464739   -2.09257e+06   5.31395e+06      105384   81046   -207810      115412   -12842.7   -271628
node 18    -53045.6   -2.17372e+06   -3.48351e+06      68880.9   -27605.3   -142754      82350.5   -33199.1   -173118
node 19    1.04495e+06   -1.99518e+06   -3.48061e+06      78369.1   -32599.1   -197878      93870.8   -38589.7   -240116
node 20    751766   -2.95117e+06   -3.97285e+06      81219.2   -30401.9   -194010      97579.1   -35931.8   -235879
node 21    832951   -2.30568e+06   -4.59536e+06      81882.2   -32163.2   -195766      97981.9   -38011.1   -237574
node 22    -201619   -2.95065e+06   -4.37616e+06      81490.6   -32436.9   -182609      97297.5   -38867.8   -221469
node 23    -223581   -2.81973e+06   -3.03469e+06      69390.5   -19334.5   -167029      83328.1   -23282.8   -202750
node 24    -846909   -2.43455e+06   -3.47e+06      70625.5   -32539.7   -160060      84205.8   -39468.8   -193423
node 25    80926   -2.23187e+06   -4.75467e+06      80701.4   -32248.1   -179488      96122.7   -38561.2   -217525
node 26    -626300   -2.01932e+06   -4.22319e+06      76851.5   -32628.8   -173126      91270.5   -39476.7   -209307
node 27    123098   -1.50647e+06   -3.94708e+06      78179.6   -31396.2   -185576      93051.3   -37694   -224837
node 28    -2.55128e+06   -474511   3.39756e+06      64134   -51425.5   -269192      103302   -56245.4   -283511
node 29    -2.19669e+06   -22015.4   4.08418e+06      53653.6   -50863   -288013      96497.9   -55875.2   -289394
