31557600.0
node 1    -526185   -1.53048e+06   5.01694e+06      2.55475e+06   -881180   -4.60739e+06      3.05135e+06   -1.18005e+06   -5.60048e+06
node 2    -50778.8   -1.37681e+06   4.41256e+06      2.50892e+06   -947596   -4.63195e+06      3.00547e+06   -1.15869e+06   -5.56523e+06
node 3    -74015.3   -1.8988e+06   4.92592e+06      2.56679e+06   -832062   -4.53213e+06      3.07492e+06   -1.12923e+06   -5.5563e+06
node 4    -149872   -2.16568e+06   4.23679e+06      2.61157e+06   -925296   -4.53565e+06      3.12322e+06   -1.15108e+06   -5.54166e+06
node 5    -1.19938e+06   -1.78044e+06   5.31267e+06      2.63731e+06   -968283   -4.62501e+06      3.12284e+06   -1.24711e+06   -5.63063e+06
node 6    -952779   -1.113e+06   5.08147e+06      2.49996e+06   -1.00156e+06   -4.68458e+06      3.01385e+06   -1.24578e+06   -5.62568e+06
node 7    -1.21683e+06   -1.80527e+06   4.82005e+06      2.61518e+06   -1.01974e+06   -4.62874e+06      3.12689e+06   -1.25505e+06   -5.61229e+06
node 8    -909908   -2.17288e+06   5.22337e+06      2.66455e+06   -904678   -4.58282e+06      3.15587e+06   -1.2032e+06   -5.60859e+06
node 9    -794076   -1.80894e+06   5.37867e+06      2.62946e+06   -862192   -4.59709e+06      3.10445e+06   -1.19309e+06   -5.61927e+06
node 10    -922229   -1.22497e+06   4.40823e+06      2.52098e+06   -1.04079e+06   -4.69905e+06      3.04041e+06   -1.23938e+06   -5.62148e+06
node 11    -478003   -1.0431e+06   5.16958e+06      2.48561e+06   -883635   -4.66756e+06      2.977e+06   -1.18547e+06   -5.60333e+06
node 12    -70857   -957782   4.97573e+06      2.43536e+06   -880400   -4.68803e+06      2.9376e+06   -1.15163e+06   -5.57572e+06
node 13    -118895   -1.28308e+06   5.58323e+06      2.5187e+06   -555832   -4.50328e+06      2.99124e+06   -1.08928e+06   -5.57122e+06
node 14    -574369   -1.15349e+06   5.58323e+06      2.5654e+06   -750105   -4.59876e+06      3.0064e+06   -1.16868e+06   -5.61317e+06
node 15    -967492   -1.36162e+06   5.48114e+06      2.58946e+06   -905335   -4.65238e+06      3.05508e+06   -1.22593e+06   -5.63865e+06
node 16    -400017   -1.6225e+06   5.48091e+06      2.58154e+06   -712266   -4.57021e+06      3.05556e+06   -1.13572e+06   -5.60392e+06
node 17    -464739   -2.09257e+06   5.31395e+06      2.63283e+06   -798616   -4.54685e+06      3.12049e+06   -1.14869e+06   -5.59104e+06
node 18    -53045.6   -2.17372e+06   -3.48351e+06      1.91694e+06   -677903   -2.866e+06      2.28165e+06   -812712   -3.50215e+06
node 19    1.04495e+06   -1.99518e+06   -3.48061e+06      2.16805e+06   -775332   -3.98773e+06      2.58311e+06   -929377   -4.87229e+06
node 20    751766   -2.95117e+06   -3.97285e+06      2.26539e+06   -717144   -3.91354e+06      2.69802e+06   -859643   -4.78266e+06
node 21    832951   -2.30568e+06   -4.59536e+06      2.27042e+06   -770621   -3.94365e+06      2.70349e+06   -923165   -4.8184e+06
node 22    -201619   -2.95065e+06   -4.37616e+06      2.25787e+06   -798479   -3.66808e+06      2.68702e+06   -956619   -4.48166e+06
