  x        y       z         ux            uy          uz
9939.76   25000   0      -0.0622068   -0.0793732   0.0046213
9337.35   25000   0      -0.0608863   -0.0770817   0.00430253
8734.94   25000   0      -0.0594892   -0.0742806   0.00400901
8132.53   25000   0      -0.0580884   -0.0711779   0.00370225
7530.12   25000   0      -0.0566817   -0.0677604   0.00338656
6927.71   25000   0      -0.0552542   -0.0638833   0.00310966
6325.3   25000   0      -0.0539078   -0.059761   0.0027962
5722.89   25000   0      -0.0525468   -0.0551758   0.00251337
5120.48   25000   0      -0.0512944   -0.0502945   0.00222948
4518.07   25000   0      -0.0501404   -0.0451751   0.00191109
3915.66   25000   0      -0.0490214   -0.0396695   0.00166151
3313.25   25000   0      -0.0481063   -0.0339941   0.0013936
2710.84   25000   0      -0.0472508   -0.0280473   0.00114024
2108.43   25000   0      -0.0465817   -0.0218994   0.000906061
1506.02   25000   0      -0.0461059   -0.0156831   0.000621775
903.614   25000   0      -0.045717   -0.00930436   0.000400357
301.205   25000   0      -0.0456001   -0.00287357   0.000162417
-301.205   25000   0      -0.0455716   0.00354288   -8.27568e-05
-903.614   25000   0      -0.0457609   0.0100206   -0.000312838
-1506.02   25000   0      -0.0461673   0.0163146   -0.000586601
-2108.43   25000   0      -0.0466641   0.0225471   -0.000815099
-2710.84   25000   0      -0.0473943   0.0287044   -0.00106112
-3313.25   25000   0      -0.0481987   0.0345414   -0.00134092
-3915.66   25000   0      -0.0491716   0.0402495   -0.00159607
-4518.07   25000   0      -0.0503003   0.0456526   -0.0018842
-5120.48   25000   0      -0.051467   0.0507535   -0.0021609
-5722.89   25000   0      -0.0527661   0.0556764   -0.00242846
-6325.3   25000   0      -0.0540845   0.0601024   -0.00274222
-6927.71   25000   0      -0.0554564   0.0643   -0.00303087
-7530.12   25000   0      -0.0568896   0.0681089   -0.00333106
-8132.53   25000   0      -0.0582946   0.0714971   -0.00363744
-8734.94   25000   0      -0.0597129   0.0746181   -0.00392251
-9337.35   25000   0      -0.0610829   0.077261   -0.00425347
-9939.76   25000   0      -0.0623992   0.0795791   -0.00456693
-10542.2   25000   0      -0.0636697   0.0815665   -0.00485955
-11144.6   25000   0      -0.0648609   0.0831246   -0.00517502
-11747   25000   0      -0.0659643   0.0844485   -0.00546611
-12349.4   25000   0      -0.0669793   0.0853504   -0.00577015
-12951.8   25000   0      -0.067858   0.0859798   -0.0060695
-13554.2   25000   0      -0.0686412   0.0863744   -0.00634471
-14156.6   25000   0      -0.0693047   0.0864278   -0.00664153
-14759   25000   0      -0.0698299   0.0863028   -0.00690975
-15361.4   25000   0      -0.0702536   0.0858899   -0.00717415
-15963.9   25000   0      -0.070523   0.0852641   -0.00742762
-16566.3   25000   0      -0.0706863   0.0845161   -0.00764288
-17168.7   25000   0      -0.07074   0.0835397   -0.00786838
-17771.1   25000   0      -0.070644   0.0824377   -0.00809317
-18373.5   25000   0      -0.0704842   0.0812466   -0.00825629
-18975.9   25000   0      -0.0701864   0.0798678   -0.00842927
-19578.3   25000   0      -0.0698013   0.0784655   -0.00857941
-20180.7   25000   0      -0.0693252   0.0769383   -0.00872564
-20783.1   25000   0      -0.0687326   0.0753467   -0.00884904
-21385.5   25000   0      -0.0680932   0.0737315   -0.00895691
