  Node     xx        yy       zz         ux            uy          uz         dx            dy          dz
 5046    25000   11144.6   0      0.00812785   -0.0078743   -0.0165695      0.00812785   -0.0078743   -0.0165695
 1881    25000   11747   0      0.00716086   -0.00882123   -0.0161307      0.00716086   -0.00882123   -0.0161307
 1353    25000   12349.4   0      0.00616137   -0.00975798   -0.0156812      0.00616137   -0.00975798   -0.0156812
 2376    25000   12951.8   0      0.0050702   -0.0107236   -0.0151783      0.0050702   -0.0107236   -0.0151783
 3602    25000   13554.2   0      0.00398627   -0.0117089   -0.0146778      0.00398627   -0.0117089   -0.0146778
 2393    25000   14156.6   0      0.00288196   -0.0126753   -0.0141554      0.00288196   -0.0126753   -0.0141554
 6112    25000   14759   0      0.00176523   -0.0136871   -0.013628      0.00176523   -0.0136871   -0.013628
 1373    25000   15361.4   0      0.000669771   -0.0146735   -0.013074      0.000669771   -0.0146735   -0.013074
 3258    25000   15963.9   0      -0.000422493   -0.0156577   -0.0125206      -0.000422493   -0.0156577   -0.0125206
 4794    25000   16566.3   0      -0.00146974   -0.0166359   -0.0119708      -0.00146974   -0.0166359   -0.0119708
 3572    25000   17168.7   0      -0.00247757   -0.017573   -0.0114053      -0.00247757   -0.017573   -0.0114053
 5281    25000   17771.1   0      -0.00346977   -0.0185345   -0.0108451      -0.00346977   -0.0185345   -0.0108451
 4174    25000   18373.5   0      -0.00438459   -0.0194436   -0.0102962      -0.00438459   -0.0194436   -0.0102962
 2730    25000   18975.9   0      -0.0052691   -0.0203325   -0.00973532      -0.0052691   -0.0203325   -0.00973532
 20271    25000   19578.3   0      -0.0060902   -0.0211891   -0.00919819      -0.0060902   -0.0211891   -0.00919819
 4182    25000   20180.7   0      -0.00684575   -0.0220074   -0.00866107      -0.00684575   -0.0220074   -0.00866107
 1675    25000   20783.1   0      -0.0075587   -0.022787   -0.00814316      -0.0075587   -0.022787   -0.00814316
 20256    25000   21385.5   0      -0.00819244   -0.0235231   -0.00763752      -0.00819244   -0.0235231   -0.00763752
 17594    25000   21988   0      -0.00878234   -0.024219   -0.0071346      -0.00878234   -0.024219   -0.0071346
 17593    25000   22590.4   0      -0.0093158   -0.0248723   -0.00665794      -0.0093158   -0.0248723   -0.00665794
 10678    25000   23192.8   0      -0.00978345   -0.0254743   -0.00618911      -0.00978345   -0.0254743   -0.00618911
 14850    25000   23795.2   0      -0.0102163   -0.0260416   -0.00573736      -0.0102163   -0.0260416   -0.00573736
 14739    25000   24397.6   0      -0.0105777   -0.0265563   -0.00530082      -0.0105777   -0.0265563   -0.00530082
 13348    24397.6   25000   0      -0.0115111   -0.0285263   -0.00480325      -0.0115111   -0.0285263   -0.00480325
 17017    23795.2   25000   0      -0.0121493   -0.0301099   -0.00472827      -0.0121493   -0.0301099   -0.00472827
 17089    23192.8   25000   0      -0.0128157   -0.0318385   -0.00463831      -0.0128157   -0.0318385   -0.00463831
 6387    22590.4   25000   0      -0.013505   -0.0336283   -0.00453462      -0.013505   -0.0336283   -0.00453462
 1849    21988   25000   0      -0.0142306   -0.0355818   -0.0044084      -0.0142306   -0.0355818   -0.0044084
 5763    21385.5   25000   0      -0.0149726   -0.0376098   -0.00427676      -0.0149726   -0.0376098   -0.00427676
 3935    20783.1   25000   0      -0.0157476   -0.0398007   -0.00411714      -0.0157476   -0.0398007   -0.00411714
 3250    20180.7   25000   0      -0.0165442   -0.0421485   -0.00394327      -0.0165442   -0.0421485   -0.00394327
 3468    19578.3   25000   0      -0.0173695   -0.0446044   -0.0037538      -0.0173695   -0.0446044   -0.0037538
 11693    18975.9   25000   0      -0.0182186   -0.0472763   -0.0035513      -0.0182186   -0.0472763   -0.0035513
 5002    18373.5   25000   0      -0.019054   -0.0500427   -0.00331452      -0.019054   -0.0500427   -0.00331452
 1809    17771.1   25000   0      -0.0199205   -0.0529949   -0.00305971      -0.0199205   -0.0529949   -0.00305971
 5748    17168.7   25000   0      -0.0207929   -0.0561749   -0.00277444      -0.0207929   -0.0561749   -0.00277444
 2721    16566.3   25000   0      -0.0216536   -0.0594661   -0.00248425      -0.0216536   -0.0594661   -0.00248425
 6301    15963.9   25000   0      -0.0225166   -0.0629972   -0.00217741      -0.0225166   -0.0629972   -0.00217741
 770    15361.4   25000   0      -0.0233317   -0.066672   -0.00183679      -0.0233317   -0.066672   -0.00183679
 2205    14759   25000   0      -0.024138   -0.0705297   -0.00147864      -0.024138   -0.0705297   -0.00147864
 2409    14156.6   25000   0      -0.0248895   -0.0746158   -0.00110661      -0.0248895   -0.0746158   -0.00110661
 2711    13554.2   25000   0      -0.0255647   -0.0788003   -0.000704337      -0.0255647   -0.0788003   -0.000704337
 6300    12951.8   25000   0      -0.0262142   -0.08324   -0.00027967      -0.0262142   -0.08324   -0.00027967
 3884    12349.4   25000   0      -0.0267114   -0.0877915   0.000168944      -0.0267114   -0.0877915   0.000168944
 4330    11747   25000   0      -0.0271524   -0.0924551   0.000603548      -0.0271524   -0.0924551   0.000603548
 3537    11144.6   25000   0      -0.0274674   -0.0973962   0.00111253      -0.0274674   -0.0973962   0.00111253
 3297    10542.2   25000   0      -0.0276035   -0.102284   0.00161034      -0.0276035   -0.102284   0.00161034
 3305    9939.76   25000   0      -0.0276346   -0.107307   0.0020711      -0.0276346   -0.107307   0.0020711
 4418    9337.35   25000   0      -0.0274497   -0.112473   0.00258924      -0.0274497   -0.112473   0.00258924
 5787    8734.94   25000   0      -0.0271507   -0.117514   0.00309448      -0.0271507   -0.117514   0.00309448
 6142    8132.53   25000   0      -0.0266226   -0.12271   0.00365154      -0.0266226   -0.12271   0.00365154
 5548    7530.12   25000   0      -0.0258239   -0.127658   0.00410203      -0.0258239   -0.127658   0.00410203
 1455    6927.71   25000   0      -0.0248878   -0.132585   0.00460304      -0.0248878   -0.132585   0.00460304
 4834    6325.3   25000   0      -0.0236595   -0.137344   0.00506076      -0.0236595   -0.137344   0.00506076
 3313    5722.89   25000   0      -0.0222778   -0.141772   0.00546471      -0.0222778   -0.141772   0.00546471
 1471    5120.48   25000   0      -0.020641   -0.146144   0.00593234      -0.020641   -0.146144   0.00593234
 6146    4518.07   25000   0      -0.0187616   -0.150068   0.0062941      -0.0187616   -0.150068   0.0062941
 2461    3915.66   25000   0      -0.0167429   -0.153537   0.00670655      -0.0167429   -0.153537   0.00670655
 6144    3313.25   25000   0      -0.0144947   -0.156828   0.00698613      -0.0144947   -0.156828   0.00698613
 3524    2710.84   25000   0      -0.0121289   -0.159414   0.00723778      -0.0121289   -0.159414   0.00723778
 3643    2108.43   25000   0      -0.00962432   -0.161619   0.00747979      -0.00962432   -0.161619   0.00747979
 4437    1506.02   25000   0      -0.00692961   -0.163405   0.00763058      -0.00692961   -0.163405   0.00763058
 2823    903.614   25000   0      -0.00420636   -0.164377   0.00779725      -0.00420636   -0.164377   0.00779725
 4435    301.205   25000   0      -0.0014223   -0.165113   0.00778424      -0.0014223   -0.165113   0.00778424
 3851    -301.205   25000   0      0.00138382   -0.165077   0.00778643      0.00138382   -0.165077   0.00778643
 5127    -903.614   25000   0      0.00414714   -0.164468   0.00770823      0.00414714   -0.164468   0.00770823
 5726    -1506.02   25000   0      0.00689607   -0.163408   0.00759008      0.00689607   -0.163408   0.00759008
 4832    -2108.43   25000   0      0.0095556   -0.161618   0.00744271      0.0095556   -0.161618   0.00744271
 2688    -2710.84   25000   0      0.0120605   -0.159491   0.00719669      0.0120605   -0.159491   0.00719669
 4424    -3313.25   25000   0      0.0144809   -0.15677   0.00694315      0.0144809   -0.15677   0.00694315
 3320    -3915.66   25000   0      0.01673   -0.153549   0.00659994      0.01673   -0.153549   0.00659994
 5990    -4518.07   25000   0      0.0187455   -0.150037   0.00627072      0.0187455   -0.150037   0.00627072
 6297    -5120.48   25000   0      0.0206188   -0.145984   0.00592972      0.0206188   -0.145984   0.00592972
 5116    -5722.89   25000   0      0.0222121   -0.141816   0.00545472      0.0222121   -0.141816   0.00545472
 4432    -6325.3   25000   0      0.0236539   -0.137323   0.0050327      0.0236539   -0.137323   0.0050327
 3536    -6927.71   25000   0      0.0248565   -0.132544   0.00452566      0.0248565   -0.132544   0.00452566
 366    -7530.12   25000   0      0.0257861   -0.127677   0.00403161      0.0257861   -0.127677   0.00403161
 4652    -8132.53   25000   0      0.0265686   -0.122637   0.00354912      0.0265686   -0.122637   0.00354912
 4112    -8734.94   25000   0      0.0270826   -0.117478   0.00301418      0.0270826   -0.117478   0.00301418
 5546    -9337.35   25000   0      0.0274753   -0.112444   0.00255304      0.0274753   -0.112444   0.00255304
 4824    -9939.76   25000   0      0.0276278   -0.107244   0.00201447      0.0276278   -0.107244   0.00201447
 5774    -10542.2   25000   0      0.0275801   -0.102257   0.00153723      0.0275801   -0.102257   0.00153723
 4409    -11144.6   25000   0      0.0274475   -0.0973016   0.00104013      0.0274475   -0.0973016   0.00104013
 6558    -11747   25000   0      0.0271025   -0.092417   0.000555849      0.0271025   -0.092417   0.000555849
 6338    -12349.4   25000   0      0.0267021   -0.0877505   0.000132623      0.0267021   -0.0877505   0.000132623
 3830    -12951.8   25000   0      0.0261522   -0.0831245   -0.000334483      0.0261522   -0.0831245   -0.000334483
 5096    -13554.2   25000   0      0.0255162   -0.078748   -0.000745584      0.0255162   -0.078748   -0.000745584
 4337    -14156.6   25000   0      0.0248532   -0.0745419   -0.00115271      0.0248532   -0.0745419   -0.00115271
 6330    -14759   25000   0      0.0240837   -0.0704497   -0.00151954      0.0240837   -0.0704497   -0.00151954
