217692 1 0 0 1
217749 1 0 0 1
217774 1 0 0 1
217779 2 0 0 1
217797 1 0 0 1
217967 1 0 0 1
217968 1 0 0 1
217979 1 0 0 1
218233 1 0 0 1
218248 3 0 0 1
218257 2 0 0 1
218322 1 0 0 1
218447 1 0 0 1
218490 1 0 0 1
218494 1 0 0 1
218541 1 0 0 1
218595 1 0 0 1
218664 1 0 0 1
218707 3 0 0 1
218837 1 0 0 1
218852 1 0 0 1
218862 1 0 0 1
218908 1 0 0 1
218916 1 0 0 1
219002 1 0 0 1
219043 1 0 0 1
219239 1 0 0 1
219242 1 0 0 1
219275 1 0 0 1
219293 2 0 0 1
219446 2 0 0 1
219510 2 0 0 1
219513 2 0 0 1
219525 3 0 0 1
219557 1 0 0 1
219634 2 0 0 1
219653 3 0 0 1
219677 4 0 0 1
219738 3 0 0 1
219746 2 0 0 1
219780 1 0 0 1
219840 2 0 0 1
219942 4 0 0 1
220000 1 0 0 1
220022 4 0 0 1
220197 1 0 0 1
220282 1 0 0 1
220286 1 0 0 1
220301 1 0 0 1
220366 1 0 0 1
220794 1 0 0 1
220809 1 0 0 1
220971 1 0 0 1
220990 3 0 0 1
221006 3 0 0 1
221120 1 0 0 1
221129 4 0 0 1
221228 1 0 0 1
221313 1 0 0 1
221314 1 0 0 1
221409 4 0 0 1
221656 1 0 0 1
221795 1 0 0 1
221928 1 0 0 1
221933 1 0 0 1
221958 1 0 0 1
222018 1 0 0 1
222033 4 0 0 1
222159 1 0 0 1
222179 4 0 0 1
222214 1 0 0 1
222451 1 0 0 1
222528 2 0 0 1
222590 1 0 0 1
222862 2 0 0 1
222872 1 0 0 1
222886 1 0 0 1
222963 1 0 0 1
222964 2 0 0 1
223010 1 0 0 1
223019 3 0 0 1
223020 1 0 0 1
223023 1 0 0 1
223116 2 0 0 1
223434 1 0 0 1
223464 3 0 0 1
223602 1 0 0 1
223636 1 0 0 1
224011 1 0 0 1
224059 1 0 0 1
224154 2 0 0 1
224168 1 0 0 1
224196 1 0 0 1
224406 1 0 0 1
