
Model of Maule fault in Chile
3 fixed CMB points

 Gravity changes  -- element group #1 

 Simulation time = 0.000000 ; step size = 0

 coordinates                          accelerations . . .->      geoid change & gradients
   X             Y            Z       dg_x        dg_y      dg_z      dg_net        dN    P_zx     P_zy     P_zz
3.13742e+06  -147336  -1.45504e+06      1.65579e-10  -1.26715e-12  -2.49507e-10     -9.82     -0.000283429    2.00693e-17     2.29579e-17     4.86089e-17
486946  -3.43125e+06  -17349.6      -1.33279e-11  -1.32346e-10  -3.22078e-10     -9.82     -0.000320452    -5.42669e-17     8.28611e-17     -4.57097e-17
-2.33744e+06  541769  2.5014e+06      -9.08937e-10  1.57304e-10  -1.00491e-09     -9.82     -0.000514939    6.8901e-16     -1.4721e-16     -1.6537e-16
-3.10374e+06  362733  1.48553e+06      -3.96744e-10  -7.49858e-12  -6.42681e-10     -9.82     -0.000387451    1.86936e-16     9.04315e-17     -9.04661e-17
2.31665e+06  -1.7045e+06  -1.92827e+06      1.08861e-10  -8.35435e-11  -2.61192e-10     -9.82     -0.00027565    4.88165e-17     -5.39857e-17     1.9243e-17
-2.59907e+06  -2.26608e+06  315035      -1.13606e-10  -3.22004e-11  -3.72219e-10     -9.82     -0.000316523    1.15709e-16     -1.20781e-16     -1.02242e-16
-974250  540927  3.27719e+06      -1.28605e-09  5.91504e-10  -1.5404e-09     -9.82     -0.000755083    1.29579e-15     -6.04774e-16     -1.36656e-15
-67017.2  2.3663e+06  2.52794e+06      -2.93527e-11  8.48833e-10  -1.09112e-09     -9.82     -0.000534855    2.18714e-17     -5.97849e-16     2.63622e-16
784246  -1.94448e+06  2.76171e+06      3.48043e-10  -9.7477e-10  -1.15966e-09     -9.82     -0.000569003    -4.32014e-16     8.10409e-16     3.24613e-16
1.3253e+06  1.23777e+06  2.94985e+06      9.87013e-10  8.20998e-10  -1.18484e-09     -9.82     -0.000629557    -1.25316e-15     -6.25546e-16     -8.80498e-16
2.67311e+06  74273.6  2.21165e+06      7.61329e-10  2.87126e-11  -7.62882e-10     -9.82     -0.000472317    -6.15336e-16     -7.59307e-17     -7.56565e-17
2.40167e+06  358136  2.47852e+06      9.63433e-10  1.56818e-10  -8.69984e-10     -9.82     -0.000514267    -1.1966e-15     -4.31638e-16     -1.92232e-16
-1.40886e+06  -241577  3.15775e+06      -1.3467e-09  -2.79427e-10  -1.26385e-09     -9.82     -0.000690533    1.63975e-15     3.60658e-16     -1.45579e-15
-2.67948e+06  -1110.51  -2.20004e+06      -8.73468e-11  -3.54344e-11  -1.6895e-10     -9.82     -0.000258558    1.87111e-16     4.68629e-17     -5.93396e-17
